Modell Navn,Revisjonsmerknad,MMI,Revisjon,Restrisiko kvalitet,Revisjonsdato
311_form_asskn.ifc,Til teknisk godkjenning,350,C01,-,2024-03-21
311_form_asskn.ifc,Til teknisk godkjenning,350,C01,-,2024-03-08
3D Armering AsSKn Copy 1.ifc,Til teknisk godkjenning,350,C01,Mangler godkjenning hos Vegdirektoratet,2024-12-06
3D Armering AsSKn.ifc,Til teknisk godkjenning,350,C01,Mangler godkjenning hos Vegdirektoratet,2024-12-06
3D Armering AsSKn.ifc,Til teknisk godkjenning,350,C02,Mangler godkjenning hos Vegdirektoratet,2024-12-06
3D Armering AsSKn.ifc,Til teknisk godkjenning,350,C01,Mangler godkjenning hos Vegdirektoratet,2024-11-08
3D_Armering_Arbeid_AlexOl.ifc,Til teknisk godkjenning,350,C01,Mangler godkjenning hos Vegdirektoratet.,2025-05-23
3D_Form_Etappe_1-3.ifc,Tilpasning mot ramper i vest. Justering av veggtykkelse i vest. Utvidet bunnplate ved fuger på del på berg og tilpasset fugebånd. Flere mindre endringer/suppleringer i modell.,350,C03,-,2023-11-28
3D_Form_Etappe_1-3.ifc,Lagt inn skråpeler i lengre omfang. Lagt inn flate som viser utstrekning av lette masser.,350,C04,-,2023-10-31
3D_Form_Etappe_1-3.ifc,Oppdatert form til ny utbredelse av peler. Flyttet plassering av skiltnisjer. Oppdatert nødkiosker. Flere mindre endringer/suppleringer i modell.,350,C02,-,2023-10-31
3D_Form_Etappe_1-3.ifc,Oppdatert anvisninger peler på metadataobjekt. Oppdatert hvordan peler er vist i modell og info på peler.,350,C03,-,2023-10-05
3D_Form_Etappe_1-3.ifc,Til teknisk godkjenning,350,C02,-,2023-09-14
3D_Form_Etappe_1-3.ifc,Til teknisk godkjenning,350,C01,-,2023-09-01
3D_Form_Etappe_1-3.ifc,Under revisjon,350,C04,-,2023-XX-XX
3D_arm_OVplater.ifc,Til teknisk godkjenning.,350,C01,-,2023-12-08
3D_etappe 04+05.ifc,Til teknisk godkjenning,350,C01,-,2024-02-01
3D_etappe 04+05.ifc,Til teknisk godkjenning,350,C01,-,2023-XX-XX
3D_etappeende+brem.ifc,Til teknisk godkjenning,350,C01,-,2023-XX-XX
3D_form_etappe01-03.ifc,Oppdatert form til ny utbredelse av peler. Flyttet plassering av skiltnisjer. Oppdatert nødkiosker. Flere mindre endringer/suppleringer i modell.,350,C02,-,2023-10-31
3D_form_etappe01-03.ifc,Lagt inn skråpeler i lengre omfang. Lagt inn flate som viser utstrekning av lette masser.,350,C04,-,2023-10-31
3D_form_etappe01-03.ifc,Oppdatert anvisninger peler på metadataobjekt. Oppdatert hvordan peler er vist i modell og info på peler.,350,C03,-,2023-10-05
3D_form_etappe01-03.ifc,Til teknisk godkjenning,350,C02,-,2023-09-14
3D_form_etappe01-03.ifc,Til teknisk godkjenning,350,C01,-,2023-09-01
4N_Utsendt.ifc,"Fjernet prefiks K432 på byggeetapper.
Armering i bunnplate tilpasset ny kumløsning.
Implementert endringer i armeringsføring etter ønske fra SK.
Lagt informasjon om omfar på all armering.
Oppdatert informasjon om omfar i metadataobjekt.
Lagt inn informasjon om godkjenningsbrev i metadataobjekt.
Lagt BVBS-koder på all armering.
Oppjustert alle objekter til MMI lik 400.",400,H02,IR,2025-11-25
